text,label
전 istj는 아니지만..[SEP] 사랑하는 것은 성격유형과 연결시키기엔 좀 무리가 있어 보이네요 [SEP],infp
저는 2주 전에 말했다가 이별통보 받았어요ㅠㅠ[SEP],isfj
인상이 좋으시네요![SEP]도 아니고 예쁘다고 하는 거면 진짜 예뻐서 하는 말이에요 ㅋㅋㅋ[SEP],estj
처음에는 짜증 났는데 이젠 그러려니 하네요.[SEP]제가 꼭 남겨놓고 싶은 거는 그냥 메모를 남겨요 [SEP],intj
키 링은 잘 안 쓸 거 같긴 해요ㅠ[SEP] 폰 케이스나 주문 제작 케이크는요?[SEP],isfj
챙겨줘요![SEP],istj
사람 안 변하죠 [SEP] 글쓴이님 ![SEP],infp
다른 분들은 어떠실지 모르겠지만 저는 상대방이 꼬시는 것보다 제가 꽂혀야 마음이 생기는 편이라..[SEP] 막 꼬시면 오히려 더 부담스러워서 백스텝 밟게 되더라고요..![SEP],istj
"엄마는 감정적 표현을 딸은 이성적 표현으로 일상에서는 잘 맞지는 않습니다.[SEP] istj는 도무지 이해하려 하지도 않고 이성적인 표현을 싫어하네요, 이유나 목적도 표현 안 하고 혼자서 알아서 하려는 성향이라 답답하죠.[SEP]",entj
제가 알기론 미련 같은 거 없는 유형이라던데요..[SEP]보든 말든 단 1도 별생각 없을 듯요..[SEP],infj
저는 연애할 때 제가 F가 된 게 아닌가 생각합니다 ㅎㅎ[SEP]그리고 내 모든 계획이 다 어그러져도 몇 분이라도 볼 수 있으면 세워놓은 모든 계획을 다 취소시킬 수도 있어요 ㅎ[SEP],estj
istj 보기보다 장난 많고 티키타카 잘 되는 거 좋아해요 [SEP] 적당히 받아쳐줘야 해요 [SEP],infj
이야기 들어주는 것도 좋습니다[SEP] 단 충고는 안돼요 [SEP],estj
움 저는 거리가 멀고 떨어져 있을수록 연락이 중요하다 생각하는데 여자친구도 연락 부분은 좀 노력해 줬으면 하네요 [SEP] 아직 이별은 아닌 거 같은데 연락 한 번 더 해보시면 어떨까요 ?[SEP],infp
내 사람 한 정 무한 다정입니다ㅎㅎㅎ 다른 사람은 안되고 내 사람은 돼요ㅋㅋ[SEP],istj
제 남자친구가 istj인데 섬 탈 때 제가 생각했던 건 기본적으로 shy가 베이스인 사람들이라 섬 넘지 않고 너무 정신없지 않은 선에서 *밀당하지 말고* 직진하는 게 중요한 거 같았어요.[SEP] 본인들도 내가 상대방을 좋아하는 건가?를 잘 모른다고 들어서..[SEP],enfj
아니요!!![SEP]이게 애정표현인데요!!![SEP],infp
에스티제가 연인에게 거짓말이랑 믿음을 졌다니..[SEP]저는 이해가 가지 않네요 [SEP],estj
이성이시면 짝사랑 같고 동성이시면 아직 낯가려서 그런 것 같아요 [SEP]저도 동족이라 그런 상황 종종 있었어요 [SEP],istj
헐 님 헤어졌을 때 올리신 글 기억하는데 벌써 연락이 왔나요??[SEP]제가 만나는 estj랑 넘넘 존똑이고 자존심이 너무너무 강해서 다신 연락 안 올 거 같았는데(평소 본인도 그렇게 말하고 다님) 강철같아 보여도 사람인가 봅니다[SEP],enfp
오래 공들이면 넘어가지 않을까요?[SEP],istj
전 부쳤습니다! [SEP],enfp
맞아요 [SEP] 핵인 싸임 ㅋㅋ[SEP],istp
헐;; 저 에스티 제남이 소개팅했을 때 부동산 얘기해서 정말 질렸었거든요.[SEP] 공통점 있어서 소름 돋았어요...[SEP],enfj
저는 그 정도로 힘들지만 글쓴이분이 좋아서 내가 버티고 더 힘내보겠다는 말 같아요 ..![SEP],istj
동굴 웬만하면 잘 들어가진 않는데 뭔가 일이 안 풀려서 극심한 스트레스 받을 때 그럴 것 같아요![SEP] 막 일이 꼬이거나 잘 안 풀릴 때 동굴 들어가서 혼자 막 스트레스 받고 어떻게 해결하지..?[SEP],istj
제 주변 estj들은 대부분 ceo에 본인 사업하시던데 어딜 가야 많을지는 [SEP],istp
먼저 만나자고 안 하는데 시간은 잘 쓴다고 해서 헷갈리네요 [SEP],entp
없지 않나요?[SEP],istp
ㅋㅋ 아 진짜?[SEP]이거 저도 말버릇이에요ㅋㅋㅋ[SEP],istj
저는 일단 좀 꼰대인 거 같더라고요 [SEP],entj
저도 이해 안 가네요 [SEP] 이해해 보자면 책임지기에 상황이 안 좋으니 미안해서겠죠[SEP],infj
사랑하는 마음 없으면 책임감으로 저렇게 데이트하지 않을 고 같은데요 ???[SEP]저도 남자친구 estj인데 썸일 때랑 좀 많이 다르지만 제가 하고 싶은 거 다 해주고 먼저 하자는 말은 안 하지만 언제 만날지 먼저 얘기 꺼내주고 저는 안정적인 연애 중이라 생각하는데 글쓴이님이랑 상황이 비슷해 보여요 [SEP],infp
공감을 잘 못하긴 합니다.[SEP]그렇다고 나쁜 의도가 있어서 그런 것은 아닙니다.[SEP],estj
네 달라요 [SEP] 기본적으로 사람에 대해서 호불호가 없는 편이라 보편적인 사람에 대한 인간적 호감은 다 있어요 [SEP],istj
전 주변에 엠비티아이가 같은 커플을 아직 못 봤는데 같으면 뭔가 편할 것 같네요 ㅎㅎ[SEP],istj
부담스러울 수도 있고 (안 좋아하면) 아니면 그냥 인사말이라 읽고 패스?[SEP],istj
내버려 두면 풀리지 않을까요?[SEP]님을 좋아한다면 화 풀림 연락하겠죠[SEP],intp
훔[SEP]저도 남자친구 estj인데 두 달째 연애 중인데 씅질은 좀 있지만 저를 지적하거나 통제한 적 한 번도 없었어요 [SEP],infp
그쳐....[SEP]저의 썸남도 istj인데 애굣덩어리더라고요.... [SEP],isfp
내가 사랑하는 사람이 다행히 적응도 잘하고 행복하게 다니고 있는데 날 그리워하지 않아 (?) 서운한 건 너무 내 중심적이지 않을까요?[SEP],istj
남의 집에 비번까지 치고 들어와서 멋대로 가져가고 매너 없는 거 맞네요 [SEP] 개인적으로 마지막에 3줄은 오히려 빼시는 게 나아 보여요 [SEP],estj
"케바케지만 안읽씹 보다는 대화를 마무리하고 읽씹을합니다[SEP]다만, 불편, 부담스러운 대화는 답장을 늦게 하면서 거리를 두는 경우도 있습니다 ([SEP]",istj
저도 estj 만나는 enfp인데 장점부터 단점까지 구구절절 토씨 하나 안 틀리고 다 공감합니다..[SEP],enfp
음...[SEP] 에너지 쓸 필요 없는 일에 에너지 쓰는 게 싫어서요..![SEP],istj
그냥 찔러본 듯 요 의미 없다고 봅니다[SEP],istp
"만나서 에너지를 쓰시는 편일 수도 있고 상대가 스몰 톡 안 좋아하나""라는 생각에 눈치 볼 수도 있고요 [SEP]",estp
애인분 너무 예민해서 읽는 내내 피곤하네요 [SEP],istp
내 입장에서 분석하고 열 내주는 거요 ㅋㅋㅋ[SEP],istj
나한테 호감 없나?[SEP]싶게 행동해요 [SEP],entp
"완전히 공감합니다.[SEP]전 여잔데, 저도 절대 기분 상한 거 참거나 혹은 빙글빙글 돌려서 티 안 내요.([SEP]",estj
이건 mbti 불문 그냥 불확실 속에 있다가 확실하게 새 여자친구 생기니까 님 차단한 거죠[SEP],entp
애태우신 보람이 있네요 ㅋㅋ[SEP]일어나지 않은 일은 걱정하지 말고 지금을 즐기세요 :)[SEP],estp
무겁지는 않다고 생각하는데 그래도 말할 상황 봐가면서 얘기하긴 해요~~[SEP],estj
다시 붙잡아서 만난다고 해도 많이 힘드실 거 같아요 ㅠ ㅠ[SEP],infp
네 전 상관없어요 [SEP] 친구 그 이상 그 이하로 안 봐요 ㅎ[SEP],isfj
유형은 모르겠고 뭔가 이유 없이 강압적인 사람 이야기가 아닌 감정싸움하자는 사람 정말 극험합니다[SEP],istp
축하합니댱~~~~[SEP],istj
맞아요![SEP]어떻게 보면 몸과 마음 올인이라 메모장은 늘 상대방 내용으로 가득 차요[SEP],istj
제 친구 두 명은 연애 경험 많이 없을 땐 그랬었고 연애 경험 많아질수록 그냥 불도저인 듯 요[SEP],esfj
네네네 저 정도면 그린라이트[SEP],istj
엠비티아이를 떠나서 사람이 별로인데 그냥 버려요 [SEP],entp
좋아하지만 현실적인 사람이어서 또 자주 싸우게 될 거 같고 이런 생각 들어서 진짜 본인도 본인 마음을 잘 모르겠는 건 아닐까요 ![SEP],infp
연락 매일.[SEP] 필요한 것들을 말하지 않아도 챙겨줌[SEP],istj
저도 이너프제랑 잘 맞아요![SEP] f치곤 이성적이고 깊이 대화할 수 있는 주제도 많고 서로를 존중해 주는 느낌이라 앞으로도 오래오래 잘 지내고픈 유형이에요~[SEP],istj
맘 떠났으면 아예 연락도 안 할 듯요[SEP],isfj
맞아요 [SEP]그래요 ㅋㅋㅋ[SEP],entp
정떨어지는 거나 저랑 안 맞은 사람이니 거리 두는 거나 전 결과는 똑같으니 합쳐서 쓸게요 회피 잠수 연락 스타일 안 맞는 사람 나 잼 약속 개념 x 소심하고 답답함 뭔 생각하는지[SEP] 모르겠음[SEP],istj
나밖에 몰랐는데 남한테 맞춰주려 할 때[SEP],istj
전 호감 있거나 친해야 만나요 [SEP],istj
저도 estj 좋아해요![SEP]예쁘다 사랑한다[SEP],enfp
연락 얼마 만에 왔나요?ㅠ[SEP],enfj
네 완전요!!![SEP],estj
헤헤 에스티제가 그래요 [SEP],estj
무엇을 주던 에스티제는 고마워할 거예요!!![SEP]다른 사람이 고맙다고 표현하면 그게 무엇이든 좋아하거든요 [SEP],estj
뭔가 변하지 않는 마음이 좀 중요한 거 같아요..[SEP] 예를 들면 3년 넘게 사귀었는데 매일 집에 데려다준다든지 좀 꾸준히 하는 노력?[SEP],estj
1. 불편한 자리면 i처럼 소심해지죠.[SEP]그런 상황이 아니면 계속 말하긴합니다ㅎㅎ변화에 극도로 스트레스고 예민합니다.[SEP],estj
1. 일할 때 빼면 연락 많이 해요.[SEP] 근데 만남>전화>카톡 순으로 해요.[SEP],estj
외모 기준 컷만 통과하면..[SEP]사귀는 것 자체는 그리 오래 걸리진 않아요 [SEP],estj
주로 어떤 내용으로 싸우셨는지 모르겠지만 그 부분에 대해서 말보단 행동으로 보여주는 게 가장 베스트일 것 같아요.[SEP] 노력하는 모습을 보여주면 신뢰가 생기지 않을까요?[SEP],istj
연락이 느려질 순 있지만 아예 안되는 건 별로네요 [SEP],istj
저는 여자 에스티 제라 좀 다를 수 있지만 남자분 마음은 정리된 것 같아요..[SEP]매정하게 하지 못할 뿐....[SEP],estj
어리네요 [SEP] 여성분이 자기가 차 놓고 남자분이 여자 생겼다고 하니까 너 나한테 미련 있는 거 아니었어?[SEP],istp
에이 아무리 보수적 조선시대 사람이라도 손잡는 건 괜찮아요 [SEP] 진짜 완전 뽀뽀 같은 선 넘은 행동하기 전에 만 사귀자고 하면 됩니다[SEP],isfj
음..[SEP]다른 사람들 입에 오르내리기 싫어서 그런 거 같아요.[SEP],istj
"잇디 제씨가 이 팁이 나오는 저에게 말하기를 ""바보"" 장난 아니고 정말 바보라고 합니다.[SEP] 히히[SEP]",istj
신세 져야 하는 상대가 누구냐에 따라 다르고 보답은 합니다[SEP],estj
Ne 유형의 헛소리를 들으면 무슨 생각을 하시나요?[SEP],intp
"안 올 거 같은데 전후 폭풍 온 적이 없어서,, 아닌 건 아닌 거라[SEP]",istj
잔소리..[SEP]를 합니다[SEP],istj
개인주의 성향이 강해서 그런 거 같아요.[SEP] 회사에서 개인적인 감정 오가는 거 싫어하고 누구랑 같이 일하는 것보다 따로 역할분담해서 일하는 게 낫다고 생각합니다.[SEP],estj
관심 있는 거예요[SEP],istj
너무 축하드려요 [SEP]부럽네요 ㅠ[SEP],estp
우애ㅋㅋㅋ 잇디 제가 저렇게까지 하다니.. [SEP] 조언이랄 거는 없지만 글쓴이분도 같이 호감 표현해 주면 엄청 좋아할 것 같네요~[SEP],istj
전 연인이 더 좋으니.[SEP] 미련이 있으니[SEP],intp
혹시 결혼하자고 정확히 대화 나누신 건 맞으신가요..?![SEP],enfj
생각하는 건 비슷한데 표현을 적극적으로 하는 거 같아요 [SEP],istj
시간보다는 말투나 이런 게 중요한 거 같아요..[SEP] 그냥 이어가기 싫은 느낌이면 불화인 걸로...[SEP],estj
음 제가 estj였던 시절엔 곁에 두면 좋은 동료?[SEP] 느낌[SEP],istj
약속은 잘 지키나요?[SEP] 청소 안 하는 대신 지각 안 하는 거 아닐까요 [SEP],istp
잘하는 편인 거 같아요 [SEP] 컴퓨터 바탕화면도 엄청 정리돼있던데[SEP],istp
저 같은 경우는![SEP] 약속을 잡은 날까지 대화하는 걸 싫어합니다 ㅋㅋㅋ[SEP],istj
estj와 5년 넘게 연애 중인데요 ...[SEP]저도 중간에 헤어져 있을 때 비슷한 상황을 겪고 나중에 물어보니 마음이 아예 없으면 차단했었을 거고 연락을 봤던 이유는 지금 생각해 보면 무의식적으로 계속 고민하고 생각했었던 거 같다고 하더라고요!![SEP],intj
에스티 제지만 댓글 달아봐요.[SEP] 참고만 해주세요 ![SEP],estj
저는 제 연인이 신경 쓰일 짓인 거 알고 남사친도 이런 건 당연히 이해해 주고 남을 거라고 생각하기 때문에 그런 약속은 진작 파투 낼 것 같습니다[SEP]이해 못 해주는 남사친이면 걸러야죠[SEP],istj
저는 어색해도 그냥 가만히 있어요ㅋㅋㅋ[SEP]할 말이 없기도 하고 괜히 했다가 이미지만 깎아먹을까봐ㅠㅠ[SEP],istj
일이 손에 안잡혀요ㅎㅎ[SEP]자괴감이 들고 우울하고 뭐...[SEP],estj
저는 관심 있는 사람 아니면 연락 잘 안 하고요 문자보단 전화하는 거 좋아해요 [SEP],estj
"그냥 뚝딱이는 거 아닐까요 [SEP] 여사친인데 ,, 별 마음 없는데 하는 거겠지??[SEP]",istj
궁금하네요.[SEP]어떤 mbti 유형이 좀 안 맞으시나요~?[SEP],enfj
저 isfj / istj 번갈아가며 나오는 여자인데 말씀하신 대로 감정의 기복이 별로 없고 차분?[SEP]하다못해 조용한 편이에요.[SEP],isfj
감정 없으면 스킨십 힘들어요.[SEP] 엄청 친한 동성친구랑도 안 하는데 이성이면 더욱더..[SEP],istj
어떻게 하샸나요?ㅠㅠ[SEP],infp
본문에 대부분 나왔어요.[SEP] 선약 먼저 잡아보시는 거 어떠세요[SEP],istj
전 진짜 큰일 아니면 그 사람이랑 거의 다신 안 볼 수준 ..[SEP],estj
1. 가능하면 칼 답이 좋죠 -[SEP]뭐 하고 있어서 그런 겁니다 -[SEP],estj
"미련이 남는다면...[SEP]한 번 만나긴 할 것 같고, 답을 하는 데 오래 걸리지는 않을 것 같아요.[SEP]",istj
어떤 방식의 칭찬이든 다 좋아요![SEP] 근데 다른 사람한테 능력 있다 잘한다 이런 소리 듣는 게 더 기분 좋긴 하더라고요.[SEP],istj
에스티제였다가 istj 된 사람인데 esfpenfp 번갈아 나오는 남자친구 만나고 있어요 ![SEP],istj
안녕하세요 민트님~ 함께 일하고 있는 istj 직원을 있는 그대로 온전히 이해하려고 하는데 늘 많은 도움을 받아요~[SEP] 글 감사해요 [SEP],enfp
"isfj istj 번갈아가며 나오는 여자입니다.[SEP] 연하지만 오빠 같은 모습을 가끔 보일 때 사소한 선물이지만 저를 많이 생각해 주는, 깊은 의미가 담긴 깜짝 선물을 준비해 줬을 때 그 선물의 의미에 대해 생각해 보곤 많이 감동받고, 어른스럽다 느꼈어요.[SEP]",isfj
전 남자친구도 그래서 제가 화나서 지우라 했어요 [SEP]아무 사이도 아니고 아무것도 안 해서 내버려 뒀다고 하던데요 [SEP],intj
네 잘 다가가고 호기심 많고 궁금한 거 많아해요 [SEP] 근데 마음 안 가는 사람한텐 안 그래요 [SEP],estj
많이 좋아해서인지는 본인 마음이라 깊이는 모르겠고 저도 눈 빤히 보는데 estj 남자친구 웃으면서 피해요ㅋㅋ[SEP]왜 피하냐고 물어보면 부끄럽대요 [SEP],intj
찐 사랑이었던 애인이랑 헤어지면 어떤 감정이 드세요?[SEP]슬프거나 전 애인 생각도 나긴 하나요?[SEP],intj
"대체적으로 T, 배울 점이 있는 사람+뒤에서 챙겨주는 사람+집착 +스킨십 강요하지 않고 진도 빨리 나가지 않는 사람+지식이 많은 사람(무개념, 무지식 개 싫음 ..)[SEP]",istj
1. 네 상상하죠![SEP] 근데 그 상상했던 모습을 어느 정도 이룬 것 같아[SEP],isfj
전 안부 묻고 무슨 일하냐 밥이나 먹자 등등하는데..[SEP]꽂아달라는 건 좀 양심 없는 듯[SEP],istj
아니요.[SEP] 잘 눈치 못 챕니다.[SEP],istj
어차피 갈 수밖에 없는 거 재밌게 놀라는 거죠 .ㅜㅜ[SEP]똑같은 상황에 상대방이 저는 오히려 가기 싫은데 가서 어쩌냐 고생해 [SEP],istj
호감 없어도 상대방에 계속 연락하면 대답을 해줘요 [SEP] 근데 먼저 연락을 하는 거면 호감이 있는 거[SEP],istj
그렇죠..[SEP] 일단 나중에 아쉬울 것 같으면 썸붕 안 나요 [SEP],estj
말 예쁘게 하는 거야 사회화 정도로 그럴 수 있는데 일기를 만약 쓰면 회고+개선점으로 쓰지 풍경에 대한 감상을 그렇게까진 안 쓸 것 같아요.[SEP],istj
과하지 않으면 좋아요ㅋㅋ[SEP],estj
좋기는 한데 여러 가지 상황으로 당장 연애할 생각이 없는 분 .?[SEP]저도 주변에 그런 사람이 있어서ㅜㅜ 누가 봐도 빼 박 호감에 헷갈리게 하는데 딱 거기까지더라고요 [SEP],istj
아직은 호의고 지켜보는 거 같아요![SEP],istj
헐 저도 궁금해요 [SEP]저는 안읽씹당함..[SEP],enfp
전지현: entp 차태현: isfp 같아요 [SEP] 전지현 씨 역할은 상상력 풍부하고 털털하고 통통 튀는 성격 같고 견우 역할은 내향적이지만 상대방에게 잘 맞춰주고 순정파 성격 같아요 [SEP],infp
꽂힌 건 짚고 넘어가야 하는 성향인데(도덕적인 부분이나 개인마다 다름) 다름을 이해해야 할 시기 아닐까요 [SEP] 건강한 대화 방법을 같이 의논해야 할 시기인 거 같아요 [SEP],enfp
제 개인적인 생각을 말씀드릴게요!![SEP] 모두한테 친절하고 밝은 이유는 좋은 게 좋은 거라고 굳이 내가 먼저 상대방에게 안 좋게 비칠 필요가 없다고 생각해요.[SEP],estj
저는 I 거의 반인데 전혀 불편하지 않아도 그냥 안읽씹 며칠 할 때 엄청 많아요...[SEP]편하고 좋아하는 친구여도 연락은 크게 신경 안 써요 [SEP],estj
곧 그만두시니 이런저런 잡생각이 어쩔 수 없을 거 같긴 해요..[SEP] 그동안 열심히 하셨잖아요~[SEP],estj
저는 님의 입장 + 빨리 잊는 입장이라 저분의 입장은 공감 안 되네요 [SEP]아닌 건 아닌 건데 붙잡을 이유도 없고 그냥 우린 연이 아니라고 받아들여서 별생각 없어요 [SEP],istj
음 저도 그렇고 주변 estj 남사친들은 진짜 잔인할 만큼 솔직해요 [SEP] 그래서 여사친한테는 예쁘다는 말 죽어도 못하고 진짜 본인한테 예쁘다고 느껴야지 예쁘다는 말 하더라고요 [SEP],esfj
혼자서 따로 가 본 적은 없고 제 친구들도 별로 좋아하지 않아서 학생 때 한두 번 간 게 끝인 것 같아요 [SEP] 여럿이 가자 하면 따라는 갈 것 같습니다 ![SEP],istj
귀찮니 이 아직 어려운가 봐요 [SEP]아니면 불편하든가 담에 만날 땐 작은 선물 하나사들고 가세용 마이쮸라든가 그리고 과하게 대하지 말아 보세요 아직 불편한듯해요 [SEP],istj
이성적 호감이 제로라고 할 순 없는데 같이 있으면 재밌다는 건 좋은 신호죠[SEP] 근데도 아직 친구 사이라면 연인이 되지 못하는 이유가 있겠죠[SEP],istj
사바사 하지만 내가 꼬시지 못할 것 같은 자꾸 궁금증을 유발하게 하는 사람한테 마음?[SEP] 생각?[SEP],istj
"매일매일 같은 시간에 같은 걸 할 수 있고, 매우 예측 가능하다는 점이 잇이 제의 매력인 거 같아요!ㅎㅎ[SEP]친구로도 참 성실하고 좋아요![SEP]",intj
"저도 비슷한 일을 겪었는데요, 안 잡는 게 나을 것 같아요 [SEP] 아무리 생각해 봐도 다시 만났을 때 같은 이유로 또 헤어질 것 같아요 [SEP]",intp
전 남자친구가 stj였는데 이성적이라 머리로 결론 내리긴 하는데 헤어지고 나니까 또 나름 빈자리가 그리운 거죠[SEP] 그리고 계속 떠보듯이 전화 걸고 끊는 게 자존심만 센 거 같아요 [SEP],isfp
2:1로 같이 만나자고 하고 싶..... ㅋ[SEP] 왜 굳~이 단둘이..?[SEP],enfj
"네 정리는 모르겠지만 감정적으로 보이는 모습, 또 전화하는 모습에 확신을 가졌을 거예요[SEP]",istp
유형 불문 이건 호감일 것 같아요 [SEP],infj
탕비실 과자로 쪼잔할 스타일은 아니지 않을까요[SEP]estj는?[SEP],isfp
극 estj인데 상대방한테 되돌아보면 미안스러울 정도로 답장을 빨리해요..[SEP],estj
가깝고 허물없이 지내는 사람이면 나이가 많아도 잔소리가 나오는 것 같아요 ㅎㅎ[SEP]물론 제일 많이 하게 되는 건 역시 가족이지만요 ![SEP],istj
"* )[SEP] 헐 저도 이거고민중인데ㅠㅠㅠ 혼자서 뭐 하러 다녀도ㅠ상관없는 편이라 ,,내 스케줄에 그 사람과 함께해 여하는 건가 좀 고민돼요 [SEP]",enfp
제 남자친구 estj인데 저희는 만약 합정에서 데이트하고 싶다 하면 그날 합정의 점심 카페 저녁까지 어디 갈지 제가 가고 싶은 곳 정해서 리스트 다 보내요.[SEP] 그리고 서로 전화하면서 확정 짓습니다 ㅎ[SEP],infp
제 남자친구도 연하 entj[SEP],enfp
